,Absorption Coefficient Listing,,Absorption Coefficients,,,,,,
Surface Type,Code,Description,125 Hz,250 Hz,500 Hz,1k Hz,2k Hz,4k Hz,
Ceilings,62,Ceilings - Acoustic plaster on lath (big a/s),0.2,0.2,0.27,0.35,0.35,,
Ceilings,63,Ceilings - Acoustic plaster on solid,0.15,0.2,0.25,0.3,0.35,,
Ceilings,64,Ceilings - 12mm ply on 50 a/s on solid,0.2,0.15,0.1,0.1,0.1,,
Ceilings,65,Ceilings - 9mm p/board each side of 50 studs,0.15,0.1,0.05,0.04,0.05,,
Ceilings,66,Ceilings - 9mm p/board on 25 a/s on solid,0.15,0.1,0.05,0.04,0.05,,
Ceilings,67,Ceilings - 9mm p/board on 25 a/s + m/wool,0.2,0.15,0.1,0.1,0.08,,
Ceilings,68,Ceilings - 25mm m/wool on solid,0.35,0.7,0.85,0.9,0.9,,
Ceilings,69,Ceilings - 50mm m/wool on solid,0.45,0.7,0.85,0.9,0.9,,
Ceilings,70,Ceilings - 75mm m/wool on solid,0.5,0.75,0.85,0.9,0.9,,
Ceilings,71,Ceilings - 50mm m/wool on 50mm a/s on solid,0.75,0.8,0.85,0.9,0.9,,
Ceilings,72,Ceilings - 10% perf. h/board over 50mm m/wool,0.4,0.8,0.8,0.75,0.4,,
Ceilings,73,Ceilings - Profillia A (Venables),0.35,0.8,0.4,0.25,0.35,,
Ceilings,74,Ceilings - Profillia B (Venables),0.5,0.65,0.35,0.2,0.35,,
Ceilings,75,Ceilings - Steeltone (Venables),0.34,0.88,0.7,0.5,0.57,,
Ceilings,76,Ceilings - Silvatone (Venables),0.25,0.2,0.15,0.15,0.15,,
Ceilings,77,Ceilings - Woodacoustic C (Venables),0.72,0.54,0.42,0.63,0.51,,
Ceilings,78,Ceilings - Woodacoustic B (Venables),0.33,0.31,0.32,0.57,0.36,,
Ceilings,79,Ceilings - Woodacoustic A (Venables),0.35,0.4,0.6,0.85,0.55,,
Ceilings,80,Ceilings - Woodacoustic D (Venables),0.2,0.23,0.53,0.99,0.65,,
Ceilings,81,Ceilings - Woodacoustic E (Venables),0.07,0.05,0.01,0.06,0.06,,
Ceilings,82,Ceilings - Tonewood (Venables),0.35,0.8,0.7,0.55,0.55,,
Ceilings,83,Ceilings - Leather panel on 50mm m/wool on solid,0.25,0.15,0.1,0.1,0.1,,
Ceilings,84,Ceilings - Micropor H (Venables),0.18,0.39,0.9,0.83,0.64,,
Ceilings,85,Ceilings - Micropor S (Venables),0.4,0.4,0.4,0.35,0.45,,
Ceilings,86,Ceilings - Audex G  (Mandoval),0.35,0.4,0.55,0.7,0.7,,
Ceilings,87,Ceilings - 3mm perf on large a/s + m/wool,0.45,0.65,0.8,0.9,0.85,,
Ceilings,88,Ceilings - 25mm timber boards on a/s + m/wool,0.2,0.1,0.1,0.1,0.08,,
Ceilings,89,Ceilings - 19mm timber boards on a/s + m/wool,0.2,0.1,0.1,0.1,0.08,,
Ceilings,90,Ceilings - Insulated metal cladding (foam),0.2,0.1,0.08,0.08,0.05,,
Ceilings,91,Ceilings - Metal cladding,0.1,0.08,0.05,0.05,0.05,,
Ceilings,92,Ceilings - Plain steel ceiling planks,0.15,0.1,0.08,0.05,0.05,,
Ceilings,93,Ceilings - Ecophon RT Edge Detailed,0.4,0.65,0.9,0.95,0.85,,
Ceilings,94,Ceilings - Concrete,0.02,0.02,0.03,0.03,0.04,,
Ceilings,95,Ceilings - Vinyl or woodblock floor,0.03,0.03,0.04,0.05,0.05,,
Ceilings,96,Ceilings - Glazed tile or marble,0.02,0.02,0.02,0.02,0.02,,
Ceilings,97,Ceilings - Suspended timber floor (19mm a/s),0.2,0.1,0.1,0.1,0.08,,
Ceilings,98,Ceilings - Office grade carpet tile,0.15,0.25,0.3,0.4,0.4,,
Ceilings,99,Ceilings - Medium pile carpet & u/lay,0.15,0.3,0.5,0.65,0.7,,
Ceilings,100,Ceilings - Thick pile carpet & u/lay,0.25,0.5,0.6,0.7,0.7,,
Ceilings,101,Ceilings - 12mm ply on 50mm a/s + m/wool,0.2,0.15,0.1,0.1,0.1,,
Ceilings,102,Ceilings - 25mm timber panels on a/s + m/wool,0.2,0.1,0.1,0.1,0.08,,
Ceilings,103,Ceilings - 19mm timber panels on a/s + m/wool,0.2,0.1,0.1,0.1,0.08,,
Ceilings,104,Ceilings - Suspended timber floor (large a/s),0.25,0.15,0.1,0.1,0.1,,
Ceilings,105,Ceilings - Carpet on suspended timber floor,0.4,0.4,0.55,0.65,0.7,,
Ceilings,106,Ceilings - Plaster on lath (small a/s),0.08,0.05,0.05,0.04,0.04,,
Ceilings,107,Ceilings - Medium curtain (straight) on solid,0.1,0.15,0.2,0.25,0.3,,
Ceilings,108,Ceilings - Medium curtain (in folds) on solid,0.15,0.35,0.4,0.5,0.5,,
Ceilings,109,Ceilings - Audience in upholstered seat,0.4,0.46,0.46,0.51,0.46,,
Ceilings,110,Ceilings - Seat (empty) fully upholstered,0.22,0.28,0.3,0.32,0.37,,
Ceilings,111,Ceilings - Audience in wood or padded seat,0.35,0.4,0.4,0.44,0.4,,
Ceilings,112,Ceilings - Seat (empty) wood or padded,0.11,0.15,0.16,0.18,0.2,,
Ceilings,113,Ceilings - Timber bench / panels,0.15,0.1,0.08,0.06,0.06,,
Ceilings,114,Ceilings - People (unseated) each,0.35,0.4,0.4,0.4,0.4,,
Ceilings,115,Ceilings - Desks / cabinets each,0.15,0.1,0.08,0.05,0.05,,
Doors,116,Doors - 45mm solid door,0.1,0.08,0.08,0.08,0.08,,
Doors,117,Doors - 44mm flush door,0.15,0.1,0.08,0.08,0.08,,
Doors,118,Doors - Ecowood doors,0.6,0.4,0.2,0.1,0.1,,
Windows,119,Windows - Typical Windows,0.1,0.05,0.03,0.03,0.03,,
Windows,120,Windows - Window - up to 4mm glass,0.2,0.1,0.08,0.05,0.05,,
Windows,121,Windows - Window - > 6mm glass,0.07,0.04,0.02,0.02,0.02,,
Walls,122,Walls - Plaster on solid,0.04,0.04,0.05,0.04,0.05,,
Walls,123,Walls - Plaster on lath (Small a/s),0.08,0.05,0.05,0.04,0.04,,
Walls,124,Walls - Brickwork - fairfaced,0.04,0.02,0.04,0.05,0.05,,
Walls,125,Walls - Blockwork - fairfaced,0.3,0.6,0.5,0.45,0.4,,
Walls,126,Walls - Micropor S,0.4,0.4,0.4,0.35,0.45,,
Walls,127,Walls - Concrete,0.02,0.02,0.03,0.03,0.04,,
Walls,128,Walls - Edenhall Noisemaster pall / unpainted,0.8,0.67,0.51,0.45,0.42,,
Walls,129,Walls - Edenhall Noisemaster pall / painted,0.86,0.65,0.35,0.25,0.3,,
Walls,130,Walls - Edenhall Noisemaster Grey / unpainted,0.76,0.64,0.47,0.38,0.37,,
