,Absorption Coefficient Listing,,Absorption Coefficients,,,,,,
Surface Type,Code,Description,125 Hz,250 Hz,500 Hz,1k Hz,2k Hz,4k Hz,
MINERAL WOOL AND FOAMS,242,"MINERAL WOOL AND FOAMS - Rock wool 75mm, 60 kg/m3 direct to masonry ",0.95,0.98,0.82,0.87,0.86,,
MINERAL WOOL AND FOAMS,243,"MINERAL WOOL AND FOAMS - Rock wool 30mm, 100 kg/m3 direct to masonry ",0.4,0.8,0.9,0.9,0.9,,
MINERAL WOOL AND FOAMS,244,"MINERAL WOOL AND FOAMS - Rock wool 30mm, 200 kg/m3 over 300mm air gap ",0.75,0.9,0.8,0.9,0.85,,
MINERAL WOOL AND FOAMS,245,MINERAL WOOL AND FOAMS - Glass wool or mineral wool on solid backing,0,0.7,0,0.9,0.8,,
MINERAL WOOL AND FOAMS,246,MINERAL WOOL AND FOAMS - Glass wool or mineral wool on solid backing,0,0.8,0,0.95,0.9,,
MINERAL WOOL AND FOAMS,247,MINERAL WOOL AND FOAMS - Glass wool or mineral wool over air space on solid backing,0,0.8,0,0.9,0.8,,
MINERAL WOOL AND FOAMS,248,MINERAL WOOL AND FOAMS - Fibreglass super fine mat,0.4,0.75,0.85,0.8,0.85,,
MINERAL WOOL AND FOAMS,249,MINERAL WOOL AND FOAMS - Fibreglass scrim-covered sewn sheet,0.8,0.95,0.95,0.8,0.85,,
MINERAL WOOL AND FOAMS,250,MINERAL WOOL AND FOAMS - Fibreglass bitumen bonded mat,0.35,0.5,0.55,0.7,0.7,,
MINERAL WOOL AND FOAMS,251,MINERAL WOOL AND FOAMS - Fibreglass bitumen bonded mat,0.55,0.8,0.85,0.75,0.8,,
MINERAL WOOL AND FOAMS,252,MINERAL WOOL AND FOAMS - Fibreglass resin-bonded mat,0.35,0.55,0.65,0.75,0.8,,
MINERAL WOOL AND FOAMS,253,MINERAL WOOL AND FOAMS - Fibreglass resin-bonded mat,0.5,0.7,0.8,0.75,0.8,,
MINERAL WOOL AND FOAMS,254,MINERAL WOOL AND FOAMS - Fibreglass resin-bonded board,0.25,0.55,0.7,0.8,0.85,,
MINERAL WOOL AND FOAMS,255,MINERAL WOOL AND FOAMS - Flexible polyurethane foam 50mm,0.5,0.85,0.95,0.9,0.9,,
MINERAL WOOL AND FOAMS,256,MINERAL WOOL AND FOAMS - Rigid polyurethane foam 50mm,0.4,0.65,0.55,0.7,0.7,,
MINERAL WOOL AND FOAMS,257,MINERAL WOOL AND FOAMS - 12mm expanded polystyrene on 45mm battens,0.15,0.4,0.35,0.2,0.2,,
MINERAL WOOL AND FOAMS,258,MINERAL WOOL AND FOAMS - 25mm expanded polystyrene on 50mm battens,0.25,0.55,0.2,0.1,0.15,,
WALL TREATMENTS & CONSTRUCTIONS,259,WALL TREATMENTS & CONSTRUCTIONS - Cork tiles 25mm on solid backing,0.1,0.2,0.55,0.6,0.55,,
WALL TREATMENTS & CONSTRUCTIONS,260,"WALL TREATMENTS & CONSTRUCTIONS - Cork board, 25mm on solid backing",0.05,0.17,0.52,0.5,0.52,,
WALL TREATMENTS & CONSTRUCTIONS,261,"WALL TREATMENTS & CONSTRUCTIONS - Cork board, 25mm, 2.9kg/m2, on battens",0.4,0.65,0.35,0.35,0.3,,
WALL TREATMENTS & CONSTRUCTIONS,262,WALL TREATMENTS & CONSTRUCTIONS - Glass blocks or glazed tiles as wall finish,0,0.01,0,0.01,0.01,,
WALL TREATMENTS & CONSTRUCTIONS,263,WALL TREATMENTS & CONSTRUCTIONS - Muslin covered cotton felt,0.45,0.7,0.85,0.95,0.85,,
WALL TREATMENTS & CONSTRUCTIONS,264,WALL TREATMENTS & CONSTRUCTIONS - Pin up boarding- medium hardboard on solid backing,0,0.1,0,0.1,0.1,,
WALL TREATMENTS & CONSTRUCTIONS,265,WALL TREATMENTS & CONSTRUCTIONS - Fibreboard on solid backing,0.1,0.15,0.25,0.3,0.3,,
WALL TREATMENTS & CONSTRUCTIONS,266,"WALL TREATMENTS & CONSTRUCTIONS - 25mm thick hair felt, covered by scrim cloth on solid backing",0,0.7,0,0.8,0.8,,
WALL TREATMENTS & CONSTRUCTIONS,267,WALL TREATMENTS & CONSTRUCTIONS - Fibreboard on solid backing,0,0.15,0,0.3,0.3,,
WALL TREATMENTS & CONSTRUCTIONS,268,WALL TREATMENTS & CONSTRUCTIONS - Fibreboard on solid backing - painted,0,0.1,0,0.15,0.15,,
WALL TREATMENTS & CONSTRUCTIONS,269,WALL TREATMENTS & CONSTRUCTIONS - Fibreboard over airspace on solid wall,0,0.3,0,0.3,0.3,,
WALL TREATMENTS & CONSTRUCTIONS,270,WALL TREATMENTS & CONSTRUCTIONS - Fibreboard over airspace on solid wall - painted,0,0.15,0,0.1,0.1,,
WALL TREATMENTS & CONSTRUCTIONS,271,"WALL TREATMENTS & CONSTRUCTIONS - Plaster on lath, deep air space",0.15,0.1,0.05,0.05,0.05,,
WALL TREATMENTS & CONSTRUCTIONS,272,"WALL TREATMENTS & CONSTRUCTIONS - Plaster decorative panels, walls",0.15,0.1,0.08,0.04,0.02,,
WALL TREATMENTS & CONSTRUCTIONS,273,WALL TREATMENTS & CONSTRUCTIONS - Acoustic plaster to solid backing,0.15,0.5,0.8,0.85,0.8,,
WALL TREATMENTS & CONSTRUCTIONS,274,WALL TREATMENTS & CONSTRUCTIONS - 9mm acoustic plaster to solid backing,0.08,0.3,0.6,0.8,0.9,,
WALL TREATMENTS & CONSTRUCTIONS,275,"WALL TREATMENTS & CONSTRUCTIONS - 9mm acoustic plaster on plasterboard, 75mm airspace",0.3,0.6,0.8,0.75,0.75,,
WALL TREATMENTS & CONSTRUCTIONS,276,WALL TREATMENTS & CONSTRUCTIONS - 12.5mm acoustic plaster on plaster backing over 75mm air space,0.35,0.4,0.55,0.7,0.7,,
WALL TREATMENTS & CONSTRUCTIONS,277,"WALL TREATMENTS & CONSTRUCTIONS - Woodwool slabs, unplastered on solid backing",0,0.4,0,0.6,0.6,,
WALL TREATMENTS & CONSTRUCTIONS,278,"WALL TREATMENTS & CONSTRUCTIONS - Woodwool slabs, unplastered on solid backing",0.2,0.45,0.8,0.6,0.75,,
WALL TREATMENTS & CONSTRUCTIONS,279,"WALL TREATMENTS & CONSTRUCTIONS - Woodwool slabs, unplastered on solid backing",0,0.8,0,0.8,0.8,,
WALL TREATMENTS & CONSTRUCTIONS,280,"WALL TREATMENTS & CONSTRUCTIONS - Woodwool slabs, unplastered over 20mm airspace on solid backing",0,0.6,0,0.6,0.7,,
WALL TREATMENTS & CONSTRUCTIONS,281,WALL TREATMENTS & CONSTRUCTIONS - Plasterboard backed with 25mm thick bitumen-bonded fibreglass on 50mm battens,0.2,0.15,0.05,0.05,0.05,,
WALL TREATMENTS & CONSTRUCTIONS,282,WALL TREATMENTS & CONSTRUCTIONS - Curtains hung in folds against soild wall,0.15,0.35,0.4,0.5,0.5,,
WALL TREATMENTS & CONSTRUCTIONS,283,"WALL TREATMENTS & CONSTRUCTIONS - Cotton Curtains (0.5kg/m2),draped to 75% area approx. 130mm from wall",0.45,0.65,0.56,0.59,0.71,,
WALL TREATMENTS & CONSTRUCTIONS,284,WALL TREATMENTS & CONSTRUCTIONS - Lightweight curtains (0.2 kg/m2) hung 90mm from wall,0.06,0.39,0.63,0.7,0.73,,
WALL TREATMENTS & CONSTRUCTIONS,285,WALL TREATMENTS & CONSTRUCTIONS - Curtains of close-woven glass mat hung 50mm from wall,0.03,0.15,0.4,0.5,0.5,,
WALL TREATMENTS & CONSTRUCTIONS,286,"WALL TREATMENTS & CONSTRUCTIONS - Curtains, medium velour, 50% gather, over soild backing",0.25,0.4,0.5,0.6,0.5,,
WALL TREATMENTS & CONSTRUCTIONS,287,WALL TREATMENTS & CONSTRUCTIONS - Curtains (medium fabrics) hung straight and close to wall,0,0.25,0,0.3,0.4,,
WALL TREATMENTS & CONSTRUCTIONS,288,WALL TREATMENTS & CONSTRUCTIONS - Curtains in folds against wall,0.15,0.35,0.4,0.5,0.5,,
WALL TREATMENTS & CONSTRUCTIONS,289,WALL TREATMENTS & CONSTRUCTIONS - Curtains ( medium fabrics ) double widths in folds spaced away from wall,0,0.4,0,0.5,0.6,,
WALL TREATMENTS & CONSTRUCTIONS,290,"WALL TREATMENTS & CONSTRUCTIONS - Acoustic banner, 0.5 kg/m2 wool serge, 100mm from wall",0.4,0.7,0.74,0.88,0.89,,
FLOORS,291,FLOORS - Smooth marble or terrazzo slabs,0.01,0.01,0.01,0.02,0.02,,
FLOORS,292,"FLOORS - Raised computer floor, steel-faced 45mm chipboard 800mm above concrete floor, no carpet",0.07,0.06,0.07,0.08,0.08,,
FLOORS,293,"FLOORS - Raised computer floor, steel-faced 45mm chipboard 800mm above concrete floor, office-grade carpet tiles ",0.26,0.52,0.43,0.51,0.58,,
FLOORS,294,FLOORS - Wooden floor on joists,0.11,0.1,0.07,0.06,0.07,,
FLOORS,295,"FLOORS - Parquet fixed in asphalt, on concrete",0.04,0.07,0.06,0.06,0.07,,
FLOORS,296,FLOORS - Parquet on counterfloor,0.15,0.1,0.1,0.05,0.1,,
FLOORS,297,FLOORS - Linoleum or vinyl stuck to concrete,0.02,0.03,0.04,0.04,0.05,,
FLOORS,298,"FLOORS - Layer of rubber, cork, linoleum + underlay, or vinyl+underlay stuck to concrete",0.02,0.04,0.05,0.05,0.1,,
FLOORS,299,FLOORS - 5mm needle-felt stuck to concrete,0.02,0.05,0.15,0.3,0.4,,
FLOORS,300,FLOORS - 6mm pile carpet bonded to closed-cell foam underlay,0.09,0.25,0.31,0.33,0.44,,
FLOORS,301,FLOORS - 6mm pile carpet bonded to open-cell foam underlay,0.09,0.2,0.54,0.7,0.72,,
FLOORS,302,"FLOORS - 9mm pile carpet, tufted on felt underlay",0.08,0.3,0.6,0.75,0.8,,
FLOORS,303,FLOORS - Composition flooring,0.05,0.05,0.05,0.05,0.05,,
FLOORS,304,FLOORS - Haircord carpet on felt underlay,0.05,0.1,0.2,0.45,0.65,,
FLOORS,305,FLOORS - Medium pile carpet on sponge rubber underlay,0.1,0.3,0.5,0.65,0.7,,
FLOORS,306,FLOORS - Thick pile carpet on sponge rubber underlay,0.25,0.5,0.6,0.7,0.7,,
FLOORS,307,FLOORS - Rubber floor tiles,0.05,0.1,0.1,0.05,0.05,,
FLOORS,308,"FLOORS - Carpet, thin, over thin felt on concrete",0.15,0.25,0.3,0.3,0.3,,
FLOORS,309,"FLOORS - Carpet, thin, over thin felt on wood floor",0.25,0.3,0.3,0.3,0.3,,
FLOORS,310,"FLOORS - Carpet, needlepunch",0.05,0.05,0.25,0.35,0.5,,
FLOORS,311,"FLOORS - Stone floor, plain or tooled or granolithic finish",0,0.02,0,0.05,0.05,,
FLOORS,312,FLOORS - Corkfloor tiles,0.05,0.15,0.25,0.25,0,,
FLOORS,313,FLOORS - Sheet rubber ( hard ),0.05,0.05,0.1,0.05,0,,
FLOORS,314,FLOORS - Woodblock/linoleum/rubber/cork tiles (thin) on solid floor (or wall),0.04,0.05,0.05,0.1,0.05,,
FLOORS,315,"FLOORS - Floor tiles, plastic or linoleum",0,0.03,0,0.05,0.05,,
FLOORS,316,FLOORS - Steel decking,0.09,0.08,0.09,0.11,0.11,,
PANELS AND DOORS,317,PANELS AND DOORS - Wood hollowcore door,0.25,0.15,0.1,0.1,0.07,,
PANELS AND DOORS,318,PANELS AND DOORS - Solid door,0.1,0.06,0.08,0.1,0.1,,
PANELS AND DOORS,319,"PANELS AND DOORS - Acoustic door, steel frame, double seals, absorbant in airspace,",0.39,0.44,0.49,0.54,0.57,,
PANELS AND DOORS,320,PANELS AND DOORS - Double sheet steel skin.,,,,,,,
CEILINGS,321,"CEILINGS - Mineral wool tiles, 180mm airspace",0.72,0.83,0.88,0.89,0.8,,
CEILINGS,322,"CEILINGS - Mineral wool tiles, glued/screwed to soffit",0.4,0.75,0.95,0.96,0.83,,
CEILINGS,323,"CEILINGS - Gypsum plaster tiles, 17% perforated, 22mm mineral wool backing",0.7,0.8,0.8,0.65,0.45,,
CEILINGS,324,"CEILINGS - Under purlin lining profiled steel sheet (30% perforated), fleece layer and 180mm thick 23 Kg/m3 rockwool insulation.",0.11,0.17,0.4,0.44,0.4,,
CEILINGS,325,"CEILINGS - Perforated underside of structural steel decking (typical, depends on perforations)",0.7,0.85,0.9,0.7,0.65,,
CEILINGS,326,"CEILINGS - 12% perforated plaster tiles, absorbent felt glued to back, 200mm ceiling void",0.7,0.88,0.52,0.42,0.35,,
CEILINGS,327,"CEILINGS - 100mm woodwool slabs on 25mm cavity, pre-screeded surface facing cavity",0.75,0.85,0.65,0.7,0.7,,
CEILINGS,328,"CEILINGS - 50mm woodwool slabs on 25mm cavity, pre-screeded surface facing cavity",0.4,0.5,0.85,0.5,0.65,,
CEILINGS,329,"CEILINGS - 100mm woodwool fixed directly to concrete, pre-screeded surface facing backing",0.8,0.85,0.65,0.7,0.75,,
CEILINGS,330,"CEILINGS - 75mm woodwool fixed directly to concrete, pre-screeded surface facing backing",0.4,0.95,0.6,0.7,0.6,,
CEILINGS,331,CEILINGS - Plasterboard 10mm thick backed with 25mm thick bitumen,0.2,0.15,0.05,0.05,0.05,,
CEILINGS,332,"CEILINGS - Plasterboard 10mm thick, perforated 8mm diameter holes 2755m2 14% open area backed with 25mm thick bitumen- bonded fibreglass on 90mm battens",0.7,0.85,0.55,0.4,0.3,,
CEILINGS,333,"CEILINGS - Plywood, 5mm, on battens 50mm airspace filled with glass wool",0.35,0.2,0.15,0.05,0.05,,
CEILINGS,334,"CEILINGS - Plywood, 12mm, with 30mm thick fibreglass backing between 30mm battens",0.2,0.15,0.1,0.1,0.05,,
CEILINGS,335,CEILINGS - Plywood 12mm thick perforated 5mm diameter holes 6200 m2 11% open area with 60mm deep air space behind,0.35,0.55,0.3,0.25,0.3,,
CEILINGS,336,CEILINGS - Plywood 12mm thick perforated 5mm diameter holes 6200 m2 11% open area backed with 60mm thick fibreglass between mounting battens,0.9,0.8,0.5,0.4,0.3,,
CEILINGS,337,"CEILINGS - Hardboard, 25% perforated over 50mm mineral wool",0.87,1,1,0.98,0.96,,
CEILINGS,338,"CEILINGS - 0.8mm unperforated metal panels backed with 25mm thick resin bonded fibreglass, mounted on 22mm diameter pipes 135mm from wall.",0.35,0.15,0.05,0.05,0,,
CEILINGS,339,CEILINGS - 0.8mm perforated metal tiles 2mm diameter holes 29440/m2. 13% open area backed with 25mm thick resin-bonded fibreglass slab. No airspace.,0.3,0.6,0.75,0.8,0.8,,
CEILINGS,340,CEILINGS - 50mm mineral wool ( 96 kg/m3 ) behind 25% open area perforated steel.,0.35,0.65,0.85,0.9,0.8,,
CEILINGS,341,"CEILINGS - Wood panels, 18mm alternate 15mm slot & 35mm wooden slat",0.36,0.74,0.91,0.61,0.5,,
CEILINGS,342,"CEILINGS - 25mm rockwool backing, 32mm airspace behind",,,,,,,
CEILINGS,343,"CEILINGS - Plaster decorative panels, ceilings ",0.22,0.18,0.15,0.15,0.16,,
AUDIENCE AND SEATING,344,"AUDIENCE AND SEATING - Children, standing (per child) in m2 units",0.22,0.37,0.4,0.42,0.37,,
AUDIENCE AND SEATING,345,"AUDIENCE AND SEATING - Children, seated in plastic or metal chairs (per child) in m2 units",0,0.33,0,0.37,0.37,,
AUDIENCE AND SEATING,346,AUDIENCE AND SEATING - Students seated in tablet arm chairs,0.41,0.49,0.84,0.87,0.84,,
AUDIENCE AND SEATING,347,AUDIENCE AND SEATING - Adults per person seated,0.4,0.44,0.45,0.45,0.45,,
AUDIENCE AND SEATING,348,AUDIENCE AND SEATING - Adults per person standing,0.38,0.42,0.43,0.45,0.45,,
AUDIENCE AND SEATING,349,AUDIENCE AND SEATING - Empty plastic or metal chairs (per chair) in m2 units,0,0.14,0,0.14,0.14,,
AUDIENCE AND SEATING,350,"AUDIENCE AND SEATING - Seats, leather covers, per m2",0.5,0.58,0.61,0.58,0.5,,
AUDIENCE AND SEATING,351,"AUDIENCE AND SEATING - Cloth-upholstered seats, per m2 ",0.6,0.77,0.89,0.82,0.7,,
AUDIENCE AND SEATING,352,"AUDIENCE AND SEATING - Floor and cloth-upholstered seats, per m2",0.66,0.8,0.88,0.82,0.7,,
AUDIENCE AND SEATING,353,AUDIENCE AND SEATING - Adults in plastic and metal chairs in m2 units,0,0.4,0,0.43,0.4,,
AUDIENCE AND SEATING,354,AUDIENCE AND SEATING - Adults in wooden or padded chairs or seats (per item) in m2,0,0.4,0,0.44,0.4,,
AUDIENCE AND SEATING,355,"AUDIENCE AND SEATING - Adults on timber seats, 1 per m2 per item",0.24,0.56,0.69,0.81,0.78,,
AUDIENCE AND SEATING,356,"AUDIENCE AND SEATING - Adults on timber seats, 2 per m2 per item",0.4,0.78,0.98,0.96,0.87,,
AUDIENCE AND SEATING,357,AUDIENCE AND SEATING - Wooden or padded chairs or seats (per item) in m2,0,0.15,0,0.18,0.2,,
AUDIENCE AND SEATING,358,"AUDIENCE AND SEATING - Seating, slighty upholstered, unoccupied",0.12,0.26,0.42,0.5,0.55,,
AUDIENCE AND SEATING,359,"AUDIENCE AND SEATING - Seating, slighty upholstered, occupied",0.62,0.74,0.76,0.81,0.9,,
AUDIENCE AND SEATING,360,AUDIENCE AND SEATING - Fully upholstered seats (per item) in m2,0,0.28,0,0.32,0.37,,
AUDIENCE AND SEATING,361,"AUDIENCE AND SEATING - Upholstered tip-up theatre seats, empty",0.51,0.64,0.71,0.77,0.81,,
AUDIENCE AND SEATING,362,"AUDIENCE AND SEATING - Areas with audience, orchestra, or seats, including narrow aisles",0.74,0.88,0.96,0.93,0.85,,
AUDIENCE AND SEATING,363,"AUDIENCE AND SEATING - Auditorium seat, unoccupied",0.33,0.59,0.58,0.61,0.62,,
AUDIENCE AND SEATING,364,"AUDIENCE AND SEATING - Auditorium seat, occupied",0.48,0.68,0.73,0.77,0.74,,
AUDIENCE AND SEATING,365,"AUDIENCE AND SEATING - Orchestra with instruments on podium, 1.5 m2 per person",0.53,0.67,0.93,0.87,0.8,,
AUDIENCE AND SEATING,366,AUDIENCE AND SEATING - Orchestral player with instrument (average)  per person,0.8,1,1,1,1,,
AUDIENCE AND SEATING,367,AUDIENCE AND SEATING - Prosenium opening with average stage set per m2 of opening,0,0.3,0,0.4,0.5,,
AUDIENCE AND SEATING,368,AUDIENCE AND SEATING - Wood platform with large space beneath,0.3,0.2,0.17,0.15,0.1,,
AUDIENCE AND SEATING,369,AUDIENCE AND SEATING - Adult office furniture per desk,0.4,0.45,0.45,0.6,0.7,,
OTHER,370,"OTHER - Water surface, ie swimming pool",0.01,0.01,0.01,0.02,0.02,,
OTHER,371,OTHER - Ventilation grille per m2,0.6,0.6,0.6,0.6,0.6,,
USER,372,USER - Gyptone  Point 15 (Aw = 0.65),0.7,0.75,0.65,0.6,0.55,,
Absorber Class,400,Absorber Class - Class A Absorber,0.7,0.9,0.9,0.9,0.8,,
Absorber Class,401,Absorber Class - Class B Absorber,0.6,0.8,0.8,0.8,0.7,,
Absorber Class,402,Absorber Class - Class C Absorber,0.4,0.6,0.6,0.6,0.5,,
Absorber Class,403,Absorber Class - NRC 0.3 Absorber,0.1,0.3,0.3,0.3,0.2,,
Absorber Class,404,Absorber Class - NRC 0.4 Absorber,0.2,0.4,0.4,0.4,0.3,,
Absorber Class,405,Absorber Class - NRC 0.5 Absorber,0.3,0.5,0.5,0.5,0.4,,
Absorber Class,406,Absorber Class - NRC 0.6 Absorber,0.4,0.6,0.6,0.6,0.5,,
Absorber Class,407,Absorber Class - NRC 0.7 Absorber,0.5,0.7,0.7,0.7,0.6,,
Absorber Class,408,Absorber Class - NRC 0.8 Absorber,0.6,0.8,0.8,0.8,0.7,,
Absorber Class,409,Absorber Class - NRC 0.9 Absorber,0.7,0.9,0.9,0.9,0.8,,
Absorber Class,410,Absorber Class - Perf Metal ABS Estimate Absorber,0.4,0.8,0.8,0.8,0.5,,
Absorber Class,411,Absorber Class - Ecophon Wall Panel A Absorber,0.65,1,1,1,0.95,,
